                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.55566,                0.76107,                 1.0184,                 0.7522,                0.55353,                0.58738,                0.46657,                 1.3801,                 2.2076,                 1.2806,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                0.48329,                 1.0849,                 1.0515,                 0.7522,                0.55353,                0.58738,                0.46657,                 1.3801,                 2.2076,                 1.2806,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 0.6175,                0.97706,                 1.0452,                0.75464,                0.55808,                0.58504,                0.44913,                 1.3929,                 2.2275,                 1.2831,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                0.53995,                0.73665,                 1.0446,                0.75464,                0.55808,                0.58504,                0.44913,                 1.3929,                 2.2275,                 1.2831,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 0.5681,                 1.4944,                 1.1064,                0.75464,                0.55808,                0.58504,                0.44913,                 1.3929,                 2.2275,                 1.2831,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 0.4927,                0.97183,                 1.0068,                0.75464,                0.55808,                0.58504,                0.44913,                 1.3929,                 2.2275,                 1.2831,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                0.73236,                 1.2563,                 1.1254,                0.75179,                0.43333,                0.57935,                0.44597,                 1.3877,                 2.3087,                 1.2851,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                0.50228,                   1.01,                0.99533,                0.75179,                0.43333,                0.57935,                0.44597,                 1.3877,                 2.3087,                 1.2851,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                0.54201,                  0.969,                0.99265,                0.75179,                0.43333,                0.57935,                0.44597,                 1.3877,                 2.3087,                 1.2851,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                0.45943,                0.95006,                0.92052,                0.75179,                0.43333,                0.57935,                0.44597,                 1.3877,                 2.3087,                 1.2851,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 0.6591,                 1.1388,                 1.2172,                0.84265,                0.37305,                0.47392,                0.37262,                  1.381,                 2.4302,                 1.2895,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                  0.432,                0.83576,                0.89634,                0.84265,                0.37305,                0.47392,                0.37262,                  1.381,                 2.4302,                 1.2895,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                 0.4862,                0.95858,                 1.0078,                0.84265,                0.37305,                0.47392,                0.37262,                  1.381,                 2.4302,                 1.2895,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                0.56095,                0.94997,                 1.0544,                0.84265,                0.37305,                0.47392,                0.37262,                  1.381,                 2.4302,                 1.2895,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                0.60644,                 0.9022,                 1.0322,                0.66863,                0.39773,                0.46629,                0.36546,                 1.4014,                 2.5557,                 1.3039,             2.3444e-06,             2.3444e-06,             2.3444e-06
